,title,main_speaker,speaker_occupation,views,comments,duration,languages
368,"10 myths about psychology, debunked",Ben Ambridge,Psychologist,2446992,196,895,28
369,"Got a wicked problem? First, tell me how you make toast",Tom Wujec,Designer,2482234,54,541,28
370,How butterflies self-medicate,Jaap de Roode,Biologist,1068305,30,375,30
371,"For these women, reading is a daring act",Laura Boushnak,Photographer,818556,37,305,41
372,"In praise of macro -- yes, macro -- finance in Africa",Sangu Delle,Entrepreneur,955623,32,353,29
373,Why the buildings of the future will be shaped by ... you,Marc Kushner,Architect,2780484,102,1085,31
374,The good news about PMS,Robyn Stein DeLuca,Psychologist,1290746,156,884,22
375,Can we create new senses for humans?,David Eagleman,Neuroscientist,1738331,221,1234,32
376,A tale of two Americas. And the mini-mart where they collided,Anand Giridharadas,Writer,1287111,123,1163,20
377,"There’s a better way to die, and architecture can help",Alison Killing,Architect,1231198,68,279,40
378,5 ways to kill your dreams,Bel Pesce,Entrepreneur,4728000,192,371,45
379,The best kindergarten you’ve ever seen,Takaharu Tezuka,Architect,4160772,169,587,39
380,What happens when our computers get smarter than we are?,Nick Bostrom,Philosopher,2832581,363,991,29
381,How to control someone else's arm with your brain,Greg Gage,Neuroscientist,4614317,174,352,36
382,The first 21 days of a bee’s life,Anand Varma,Photographer,2206061,82,366,35
383,How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,Journalist,1252289,141,562,22
384,This is what it's like to go undercover in North Korea,Suki Kim,Writer,3460338,214,752,35
385,A visual history of inequality in industrial America,LaToya Ruby Frazier,Photographer,1165313,43,303,28
386,Confessions of a bad feminist,Roxane Gay,Writer,1453205,165,688,29
387,How a driverless car sees the road,Chris Urmson,Roboticist,2042978,186,929,26
388,Everything you think you know about addiction is wrong,Johann Hari,Journalist,7841509,767,882,35
389,The nerd's guide to learning everything online,John Green,Writer,3361105,143,1090,26
390,Street art with a message of hope and peace,eL Seed,Artist,1398751,49,339,46
391,The way we think about work is broken,Barry Schwartz,Psychologist,2527133,97,482,33
392,Falling in love is the easy part,Mandy Len Catron,Writer,3098476,149,833,32
393,"Don't ask where I'm from, ask where I'm a local",Taiye Selasi,Author,2141928,162,991,28
394,Stunning photos of the endangered Everglades,Mac Stone,Photographer,1155507,32,1155,26
395,The future of flying robots,Vijay Kumar,Roboticist,1349253,37,789,22
396,Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,Journalist,1220746,45,881,27
397, How CRISPR lets us edit our DNA,Jennifer Doudna,Biologist,1936760,217,953,29
398,An Internet without screens might look like this,Tea Uglow,Designer,1613847,43,503,30
399,Art that lets you talk back to NSA spies,Mathias Jud,Artist,958480,30,776,23
400,How to stay calm when you know you'll be stressed,Daniel Levitin,Neuroscientist,9163813,129,740,38
401,How germs travel on planes -- and how we can stop them,Raymond Wang,Inventor,1690995,76,388,34
402,The four fish we're overeating -- and what to eat instead,Paul Greenberg,Author,1488694,69,864,22
403,What happens when a city runs out of room for its dead,Alison Killing,Architect,1453242,37,529,27
404,Why great architecture should tell a story,Ole Scheeren,Architect,2079266,72,986,24
405,A robot that runs and swims like a salamander,Auke Ijspeert,Roboticist,1805637,24,850,22
406,Uber's plan to get more people into fewer cars,Travis Kalanick,Entrepreneur,1587546,171,1158,23
407,How young Africans found a voice on Twitter,Siyanda Mohutsiwa,Writer,992773,33,862,21
408,A futuristic vision of the age of holograms,Alex Kipman,Inventor,2224913,125,1145,28
409,Wisdom from great writers on every year of life,Joshua Prager,Journalist,1531062,31,361,28
410,This virtual lab will revolutionize science class,Michael Bodekaer,Entrepreneur,1132257,74,686,24
411,This is your brain on communication,Uri Hasson,Neuroscientist,1800490,43,891,25
412,The beauty of being a misfit,Lidia Yuknavitch,Author,2190919,372,778,29
413,Your words may predict your future mental health,Mariano Sigman,Neuroscientist,2275945,70,734,32
414,Drawings that show the beauty and fragility of Earth,Zaria Forman,Artist,1078782,34,434,35
415,How college loans exploit students for profit,Sajay Samuel,Educator,1116194,103,708,25
416,Why you think you're right -- even if you're wrong,Julia Galef,Writer,3210972,126,697,35
417,How Syria's architecture laid the foundation for brutal war,Marwa Al-Sabouni,Architect,888896,65,625,27
418,"A project of peace, painted across 50 buildings",eL Seed,Artist,821291,25,686,23
419,The taboo secret to better health,Molly Winter,Designer,1507057,56,741,20
420,How Africa can keep rising,Ngozi Okonjo-Iweala,Economist,778960,19,923,21
421,A letter to all who have lost in this era,Anand Giridharadas,Writer,961913,43,997,21
422,The deadly legacy of cluster bombs,Laura Boushnak,Photographer,645572,35,696,23
423,How women wage conflict without violence,Julia Bacha,Filmmaker,811955,20,747,27
424,The new American Dream,Courtney E. Martin,Journalist,1404984,58,932,23
425,Architecture that's built to heal,Michael Murphy,Designer,1162011,60,938,20
426,Why some people are more altruistic than others,Abigail Marsh,Psychologist,1690453,95,741,28
427,Why open a school? To close a prison,Nadia Lopez,Educator,1029397,34,430,32
428,America's forgotten working class,J.D. Vance,Author,1077686,66,882,21
429,Everything you hear on film is a lie,Tasos Frantzolas,Entrepreneur,1236485,18,993,27
430,How America's public schools keep kids in poverty,Kandice Sumner,Educator,1181475,128,830,19
431,"We train soldiers for war. Let's train them to come home, too",Hector Garcia,Psychologist,990521,58,631,24
432,The playful wonderland behind great inventions,Steven Johnson,Writer,1122671,45,445,38
433,How students of color confront impostor syndrome,Dena Simmons,Educator,1005451,52,620,16
434,How to gain control of your free time,Laura Vanderkam,Author,4864165,90,714,33
435,Will automation take away all our jobs?,David Autor,Economist,1232506,135,1117,18
436,A better way to talk about love,Mandy Len Catron,Writer,1802516,43,917,24
437,What happens when you have a disease doctors can't diagnose,Jennifer Brea,Filmmaker,1406574,266,1027,31
438,Art made of the air we breathe,Emily Parsons-Lord,Artist,827288,14,649,19
439,The ethical dilemma of designer babies,Paul Knoepfler,Biologist,1082248,92,1099,16
440,Buildings that blend nature and city,Jeanne Gang,Architect,1035995,31,715,20
441,What we don't know about Europe's Muslim kids,Deeyah Khan,Filmmaker,1195885,59,1211,19
442,Our story of rape and reconciliation,Thordis Elva and Tom Stranger,Writer,3950921,308,1146,21
443,3 ways to fix a broken news industry,Lara Setrakian,Journalist,942996,93,517,23
444,A robot that eats pollution,Jonathan Rossiter,Roboticist,1107711,44,850,16
445,This app makes it fun to pick up litter,Jeff Kirschner,Entrepreneur,1004810,74,370,29
446,"What I learned from 2,000 obituaries",Lux Narayan,Entrepreneur,1395806,22,368,27
447,"To raise brave girls, encourage adventure",Caroline Paul,Author,1465808,28,761,23
448,Beautiful new words to describe obscure emotions,John Koenig,Writer,1173364,80,448,29
449,Inside America's dead shopping malls,Dan Bell,Filmmaker,1707855,37,713,15
450,How do you build a sacred space?,Siamak Hariri,Architect,1098436,27,766,20
451,How fake news does real harm,Stephanie Busari,Journalist,1036236,53,386,29
452,There's no shame in taking care of your mental health,Sangu Delle,Entrepreneur,1460852,35,546,23
453,Songs that bring history to life,Rhiannon Giddens,Musician,946815,10,885,8
454,How to see past your own perspective and find truth,Michael Patrick Lynch,Philosopher,1264166,35,866,18
455,What happens in your brain when you pay attention?,Mehdi Ordikhani-Seyedlar,Neuroscientist,1781721,28,392,29
456,Why our screens make us less happy,Adam Alter,Psychologist,1858990,29,569,19
457,How cohousing can make us happier (and live longer),Grace Kim,Architect,1363680,59,615,10
458,"Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,Roboticist,1475823,40,873,6
459,Can art amend history?,Titus Kaphar,Artist,890748,46,772,12
460,"When workers own companies, the economy is more resilient",Niki Okuk,Entrepreneur,744793,20,747,3
461,A smog vacuum cleaner and other magical city designs,Daan Roosegaarde,Artist,591131,12,738,3
462,Would you live in a floating city in the sky?,Tomás Saraceno,Artist,248411,9,663,2
463,What it feels like to see Earth from space,Benjamin Grant,Author,646174,2,725,1
464,There's more to life than being happy,Emily Esfahani Smith,Author,1009069,39,738,2
465,What really motivates people to be honest in business,Alexander Wagner,Economist,621431,7,808,1
466,The fascinating physics of everyday life,Helen Czerski,Physicist,656791,12,957,2
467,Living sculptures that stand for history's truths,Sethembile Msezane,Artist,542088,3,795,1
468,What we're missing in the debate about immigration,Duarte Geraldino,Journalist,450430,17,476,4
